year,team,Player,cap_hit
2021,WPG,P1,8250000.0
2021,WPG,P2,7142857.0
2021,WPG,P3,6750000.0
2021,WPG,P4,6500000.0
2021,WPG,P5,6250000.0
2021,WPG,P6,6166666.0
2021,WPG,P7,6125000.0
2021,WPG,P8,6000000.0
2021,WPG,P9,5000000.0
2021,WPG,P10,4125000.0
2021,WPG,P11,3000000.0
2021,WPG,P12,3000000.0
2021,WPG,P13,2916667.0
2021,WPG,P14,2280000.0
2021,WPG,P15,2000000.0
2021,WPG,P16,1500000.0
2021,WPG,P17,1250000.0
2021,WPG,P18,1000000.0
2021,WPG,P19,900000.0
2021,WPG,P20,894167.0
2021,WPG,P21,894167.0
2021,WPG,P22,863333.0
2021,WPG,P23,817500.0
2021,WPG,P24,775000.0
2021,WPG,P25,750000.0
2021,WPG,,750000.0
2021,WPG,,725000.0
2021,WPG,,700000.0
2020,WPG,P1,8250000.0
2020,WPG,P2,7142857.0
2020,WPG,P3,6750000.0
2020,WPG,P4,6166666.0
2020,WPG,P5,6125000.0
2020,WPG,P6,6000000.0
2020,WPG,P7,5291667.0
2020,WPG,P8,4333333.0
2020,WPG,P9,4125000.0
2020,WPG,P10,3850000.0
2020,WPG,P11,3150000.0
2020,WPG,P12,3000000.0
2020,WPG,P13,2916667.0
2020,WPG,P14,2280000.0
2020,WPG,P15,1225000.0
2020,WPG,P16,1000000.0
2020,WPG,P17,925000.0
2020,WPG,P18,900000.0
2020,WPG,P19,894166.0
2020,WPG,P20,850000.0
2020,WPG,P21,817500.0
2020,WPG,P22,792500.0
2020,WPG,P23,775000.0
2020,WPG,P24,775000.0
2020,WPG,P25,767500.0
2020,WPG,,750000.0
2020,WPG,,750000.0
2020,WPG,,741667.0
2020,WPG,,741667.0
2020,WPG,,700000.0
2020,WPG,,700000.0
2020,WPG,,700000.0
2020,WPG,,700000.0
2020,WPG,,700000.0
2020,WPG,,700000.0
2019,WPG,P1,7600000.0
2019,WPG,P2,6166666.0
2019,WPG,P3,6125000.0
2019,WPG,P4,6000000.0
2019,WPG,P5,5600000.0
2019,WPG,P6,5500000.0
2019,WPG,P7,5500000.0
2019,WPG,P8,5291667.0
2019,WPG,P9,5175000.0
2019,WPG,P10,4333333.0
2019,WPG,P11,4125000.0
2019,WPG,P12,3150000.0
2019,WPG,P13,2916667.0
2019,WPG,P14,2400000.0
2019,WPG,P15,1400000.0
2019,WPG,P16,1150000.0
2019,WPG,P17,1000000.0
2019,WPG,P18,1000000.0
2019,WPG,P19,925000.0
2019,WPG,P20,925000.0
2019,WPG,P21,925000.0
2019,WPG,P22,925000.0
2019,WPG,P23,894166.0
2019,WPG,P24,874125.0
