team,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
ARI,2012,5250000.0,5000000.0,4550000.0,3750000.0,3000000.0,3000000.0,2975000.0,2750000.0,2000000.0,1850000.0,1800000.0,1800000.0,1750000.0,1400000.0,1325000.0,1250000.0,1100000.0,1050000.0,900000.0,900000.0,900000.0,850000.0,625000.0,625000.0,612500.0
ARI,2013,5300000.0,5250000.0,4000000.0,3750000.0,3500000.0,3100000.0,3000000.0,2975000.0,2750000.0,2000000.0,1850000.0,1800000.0,1750000.0,1325000.0,1250000.0,1100000.0,900000.0,900000.0,853333.0,850500.0,803250.0,737500.0,675000.0,650000.0,650000.0
ARI,2014,5666667.0,5500000.0,5500000.0,5300000.0,5250000.0,4500000.0,4000000.0,3750000.0,3100000.0,3000000.0,2975000.0,2750000.0,2550000.0,2500000.0,1187500.0,1150000.0,875000.0,870000.0,863333.0,853333.0,840000.0,830833.0,785000.0,750000.0,737500.0
ARI,2015,5666667.0,5500000.0,5300000.0,5250000.0,4800000.0,4500000.0,4000000.0,3750000.0,3100000.0,2550000.0,2500000.0,1187500.0,1150000.0,1150000.0,1116667.0,925000.0,894167.0,875000.0,863333.0,853333.0,850500.0,840000.0,830833.0,800000.0,667500.0
ARI,2016,5666667.0,5500000.0,5300000.0,3750000.0,3750000.0,3500000.0,3500000.0,3200000.0,3100000.0,3000000.0,2083333.0,1750000.0,1150000.0,1116667.0,1040000.0,925000.0,925000.0,925000.0,875000.0,875000.0,863333.0,863333.0,853333.0,850500.0,772500.0
ARI,2017,5666667.0,5500000.0,5475000.0,4000000.0,3876134.0,3850000.0,3333333.0,3200000.0,3100000.0,2225000.0,2083333.0,1550000.0,1300000.0,1250000.0,1050000.0,1000000.0,1000000.0,1000000.0,925000.0,916667.0,894167.0,894167.0,874125.0,863333.0,863333.0
ARI,2018,6500000.0,5500000.0,5475000.0,4500000.0,4100000.0,2800000.0,2225000.0,2083333.0,1800000.0,1250000.0,1200000.0,1050000.0,1000000.0,1000000.0,1000000.0,925000.0,894167.0,885833.0,863333.0,863333.0,863333.0,863333.0,839167.0,821666.0,745000.0
ARI,2019,6500000.0,5500000.0,5475000.0,4900000.0,4500000.0,4250000.0,4100000.0,3350000.0,2800000.0,1850000.0,1750000.0,1500000.0,1375000.0,1250000.0,1000000.0,925000.0,925000.0,925000.0,925000.0,894167.0,885833.0,863333.0,863333.0,839167.0,821666.0
ARI,2020,8250000.0,8000000.0,6500000.0,6000000.0,5850000.0,5475000.0,5000000.0,4750000.0,4600000.0,4500000.0,4450000.0,4250000.0,3350000.0,1850000.0,1533333.0,1500000.0,1400000.0,1250000.0,925000.0,894167.0,885833.0,874125.0,821666.0,775000.0,745000.0
ARI,2021,8250000.0,8000000.0,7150000.0,5850000.0,5475000.0,5000000.0,4600000.0,4500000.0,4500000.0,4450000.0,4250000.0,1750000.0,1533333.0,1400000.0,1400000.0,1000000.0,1000000.0,1000000.0,894167.0,894167.0,809167.0,800000.0,795000.0,775000.0,775000.0
BOS,2012,6916667.0,5062500.0,5000000.0,5000000.0,4083333.0,4000000.0,3750000.0,3250000.0,2500000.0,2250000.0,2250000.0,2125000.0,1933333.0,1875000.0,1325000.0,1250000.0,1100000.0,1100000.0,1075000.0,916667.0,900000.0,886667.0,875000.0,816667.0,812500.0
BOS,2013,6916667.0,6500000.0,5250000.0,5000000.0,4500000.0,4083333.0,4000000.0,3500000.0,3366667.0,3250000.0,3250000.0,2500000.0,2250000.0,1600000.0,1566667.0,1300000.0,1100000.0,1008333.0,1000000.0,925000.0,916667.0,886667.0,875000.0,760000.0,660000.0
BOS,2014,7000000.0,6916667.0,6000000.0,5250000.0,5000000.0,4500000.0,4250000.0,4000000.0,3366667.0,3250000.0,3000000.0,1800000.0,1600000.0,1566667.0,1300000.0,1100000.0,1008333.0,925000.0,916667.0,900000.0,858750.0,833750.0,786667.0,775000.0,760000.0
BOS,2015,7000000.0,6916667.0,6875000.0,6000000.0,5250000.0,4500000.0,4250000.0,4000000.0,3000000.0,1800000.0,1600000.0,1566667.0,1400000.0,1400000.0,1300000.0,1250000.0,1008333.0,925000.0,925000.0,875000.0,863333.0,863333.0,850500.0,833750.0,800000.0
BOS,2016,7250000.0,7000000.0,6916667.0,6875000.0,4500000.0,4250000.0,4000000.0,3875000.0,3800000.0,3400000.0,3000000.0,2750000.0,2300000.0,1800000.0,1025000.0,950000.0,925000.0,863333.0,850000.0,850000.0,800000.0,800000.0,792500.0,792500.0,792500.0
BOS,2017,7250000.0,7000000.0,6916667.0,6875000.0,6000000.0,5250000.0,4500000.0,4350000.0,3800000.0,2750000.0,2500000.0,2300000.0,2000000.0,1200000.0,1000000.0,950000.0,925000.0,925000.0,925000.0,916667.0,916667.0,900000.0,900000.0,872500.0,863333.0
BOS,2018,7800000.0,7250000.0,7000000.0,6875000.0,6666667.0,6125000.0,6000000.0,5250000.0,4000000.0,3800000.0,2825000.0,2750000.0,2500000.0,1650000.0,1200000.0,925000.0,925000.0,916667.0,900000.0,900000.0,875000.0,872500.0,863333.0,858750.0,808750.0
BOS,2019,7250000.0,7000000.0,6875000.0,6666667.0,6125000.0,6000000.0,5250000.0,5000000.0,4583333.0,3200000.0,2750000.0,2750000.0,2500000.0,1400000.0,1275000.0,1250000.0,1000000.0,925000.0,925000.0,925000.0,916667.0,916667.0,900000.0,872500.0,863333.0
BOS,2020,7250000.0,7000000.0,6875000.0,6666667.0,6125000.0,6000000.0,5250000.0,4900000.0,3200000.0,2850000.0,2800000.0,2750000.0,2750000.0,2600000.0,2000000.0,1498925.0,1400000.0,1275000.0,1250000.0,1000000.0,1000000.0,925000.0,925000.0,894167.0,863333.0
BOS,2021,8000000.0,7250000.0,7000000.0,6875000.0,6666667.0,6125000.0,5250000.0,4900000.0,3687500.0,3675000.0,3100000.0,2850000.0,2750000.0,2600000.0,2250000.0,1600000.0,1500000.0,1498925.0,1350000.0,1275000.0,1250000.0,1000000.0,925000.0,925000.0,894167.0
