team,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
ANA,2012,5600000.0,5325000.0,5100000.0,4500000.0,4000000.0,3800000.0,3000000.0,2390000.0,2175000.0,1800000.0,1500000.0,900000.0,875000.0,870000.0,750000.0,737500.0,735000.0,720000.0,715000.0,693000.0,687500.0,650000.0,612500.0,575000.0,550000.0
ANA,2013,5325000.0,5100000.0,4500000.0,3666667.0,3500000.0,3000000.0,2390000.0,2175000.0,1800000.0,1100000.0,1000000.0,925000.0,900000.0,870000.0,785000.0,737500.0,720000.0,700000.0,687500.0,637500.0,550000.0,525000.0,,,
ANA,2014,8625000.0,8250000.0,4500000.0,4000000.0,3500000.0,3300000.0,2900000.0,2390000.0,2175000.0,2000000.0,1800000.0,1466667.0,1350000.0,1100000.0,1050000.0,925000.0,900000.0,894167.0,870000.0,863333.0,785000.0,752500.0,720000.0,700000.0,612500.0
ANA,2015,8625000.0,8250000.0,5500000.0,5000000.0,4500000.0,4000000.0,3875000.0,3500000.0,3333333.0,3250000.0,3000000.0,2880000.0,1600000.0,1466667.0,1350000.0,1266666.0,1262500.0,1150000.0,1100000.0,1000000.0,925000.0,900000.0,894167.0,870000.0,863333.0
ANA,2016,8625000.0,8250000.0,5000000.0,4600000.0,4000000.0,3812500.0,3750000.0,3250000.0,3000000.0,2950000.0,2250000.0,2000000.0,1800000.0,1750000.0,1700000.0,1600000.0,1262500.0,1150000.0,925000.0,900000.0,894167.0,875000.0,863333.0,752500.0,750000.0
ANA,2017,8625000.0,8250000.0,6875000.0,5713415.0,4875000.0,4150000.0,4000000.0,3853672.0,3750000.0,3700000.0,3250000.0,3000000.0,2300000.0,1800000.0,1750000.0,1600000.0,1000000.0,925000.0,900000.0,894167.0,863333.0,825000.0,803333.0,786667.0,775000.0
ANA,2018,8625000.0,8250000.0,6875000.0,5205556.0,4875000.0,4000000.0,3789444.0,3750000.0,3150000.0,3000000.0,2300000.0,2250000.0,2000000.0,1750000.0,1250000.0,1000000.0,925000.0,900000.0,894167.0,825000.0,794167.0,725000.0,701667.0,700000.0,680000.0
ANA,2019,8625000.0,8250000.0,6875000.0,6500000.0,5205556.0,4100000.0,4000000.0,3789444.0,3750000.0,3387500.0,3250000.0,3150000.0,3000000.0,2600000.0,2300000.0,2000000.0,1750000.0,1640000.0,1300000.0,1133333.0,1000000.0,925000.0,900000.0,894166.0,874125.0
ANA,2020,8250000.0,6500000.0,6400000.0,6000000.0,5825000.0,5250000.0,5205556.0,4100000.0,4000000.0,3789444.0,2800000.0,2600000.0,2300000.0,1498925.0,1250000.0,1133333.0,1125000.0,950000.0,925000.0,894166.0,874125.0,863333.0,850000.0,820000.0,750000.0
ANA,2021,8250000.0,6500000.0,6400000.0,6000000.0,5825000.0,5250000.0,5205556.0,4100000.0,3900000.0,3789444.0,2800000.0,1700000.0,1500000.0,1450000.0,1300000.0,1200000.0,1133333.0,1000000.0,950000.0,925000.0,863333.0,820000.0,809166.0,750000.0,745000.0
