Unnamed: 0,year,name,team
0,2007,craigadams,CAR
1,2007,kevynadams,CAR
2,2007,keithaucoin,CAR
3,2007,antonbabchuk,CAR
4,2007,ryanbayda,CAR
5,2007,ericbelanger,CAR
6,2007,rodbrindamour,CAR
7,2007,ansoncarter,CAR
8,2007,erikcole,CAR
9,2007,mikecommodore,CAR
10,2007,timgleason,CAR
11,2007,davidgove,CAR
12,2007,johngrahame,CAR
13,2007,brethedican,CAR
14,2007,andrewhutchinson,CAR
15,2007,frantisekkaberle,CAR
16,2007,andrewladd,CAR
17,2007,chadlarose,CAR
18,2007,trevorletowski,CAR
19,2007,dennisseidenberg,CAR
20,2007,ericstaal,CAR
21,2007,corystillman,CAR
22,2007,davidtanabe,CAR
23,2007,josefvasicek,CAR
24,2007,scottwalker,CAR
25,2007,niclaswallin,CAR
26,2007,camward,CAR
27,2007,glenwesley,CAR
28,2007,raywhitney,CAR
29,2007,justinwilliams,CAR
30,2008,craigadams,CAR
31,2008,keithaucoin,CAR
32,2008,ryanbayda,CAR
33,2008,caseyborer,CAR
34,2008,rodbrindamour,CAR
35,2008,wadebrookbank,CAR
36,2008,erikcole,CAR
37,2008,mikecommodore,CAR
38,2008,timconboy,CAR
39,2008,joecorvo,CAR
40,2008,mattcullen,CAR
41,2008,patrickeaves,CAR
42,2008,timgleason,CAR
43,2008,johngrahame,CAR
44,2008,jeffhamilton,CAR
45,2008,brethedican,CAR
46,2008,joejensen,CAR
47,2008,frantisekkaberle,CAR
48,2008,andrewladd,CAR
49,2008,chadlarose,CAR
50,2008,michaelleighton,CAR
51,2008,trevorletowski,CAR
52,2008,joeymormina,CAR
53,2008,brandonnolan,CAR
54,2008,tuomoruutu,CAR
55,2008,sergeisamsonov,CAR
56,2008,dennisseidenberg,CAR
57,2008,ericstaal,CAR
58,2008,corystillman,CAR
59,2008,davidtanabe,CAR
60,2008,scottwalker,CAR
61,2008,niclaswallin,CAR
62,2008,camward,CAR
63,2008,glenwesley,CAR
64,2008,raywhitney,CAR
65,2008,justinwilliams,CAR
66,2009,antonbabchuk,CAR
67,2009,ryanbayda,CAR
68,2009,caseyborer,CAR
69,2009,zachboychuk,CAR
70,2009,rodbrindamour,CAR
71,2009,wadebrookbank,CAR
72,2009,brettcarson,CAR
73,2009,erikcole,CAR
74,2009,timconboy,CAR
75,2009,joecorvo,CAR
76,2009,mattcullen,CAR
77,2009,patrickdwyer,CAR
78,2009,patrickeaves,CAR
79,2009,timgleason,CAR
80,2009,dwighthelminen,CAR
81,2009,jussijokinen,CAR
82,2009,frantisekkaberle,CAR
83,2009,danlacouture,CAR
84,2009,chadlarose,CAR
85,2009,michaelleighton,CAR
86,2009,josefmelichar,CAR
87,2009,jakubpetruzalek,CAR
88,2009,jonipitkanen,CAR
89,2009,bryanrodney,CAR
90,2009,tuomoruutu,CAR
91,2009,michaelryan,CAR
92,2009,sergeisamsonov,CAR
93,2009,dennisseidenberg,CAR
94,2009,ericstaal,CAR
95,2009,brandonsutter,CAR
96,2009,scottwalker,CAR
97,2009,niclaswallin,CAR
98,2009,camward,CAR
99,2009,raywhitney,CAR
100,2009,justinwilliams,CAR
101,2010,andrewalberts,CAR
102,2010,caseyborer,CAR
103,2010,draysonbowman,CAR
104,2010,zachboychuk,CAR
105,2010,rodbrindamour,CAR
106,2010,brettcarson,CAR
107,2010,erikcole,CAR
108,2010,timconboy,CAR
109,2010,joecorvo,CAR
110,2010,mattcullen,CAR
111,2010,patrickdwyer,CAR
112,2010,timgleason,CAR
113,2010,stevengoertzen,CAR
114,2010,jayharrison,CAR
115,2010,jussijokinen,CAR
116,2010,tomkostopoulos,CAR
117,2010,chadlarose,CAR
118,2010,mannylegace,CAR
119,2010,michaelleighton,CAR
120,2010,jamiemcbain,CAR
121,2010,oskarosala,CAR
122,2010,justinpeters,CAR
123,2010,alexandrepicard,CAR
124,2010,jonipitkanen,CAR
125,2010,brianpothier,CAR
126,2010,bryanrodney,CAR
127,2010,tuomoruutu,CAR
128,2010,jeromesamson,CAR
129,2010,sergeisamsonov,CAR
130,2010,ericstaal,CAR
131,2010,brandonsutter,CAR
132,2010,jiritlusty,CAR
133,2010,scottwalker,CAR
134,2010,niclaswallin,CAR
135,2010,aaronward,CAR
136,2010,camward,CAR
137,2010,raywhitney,CAR
138,2010,stephaneyelle,CAR
139,2011,bryanallen,CAR
140,2011,antonbabchuk,CAR
141,2011,troybodie,CAR
142,2011,draysonbowman,CAR
143,2011,zachboychuk,CAR
144,2011,brettcarson,CAR
145,2011,ryancarter,CAR
146,2011,erikcole,CAR
147,2011,joecorvo,CAR
148,2011,zacdalpe,CAR
149,2011,patrickdwyer,CAR
150,2011,timgleason,CAR
151,2011,jayharrison,CAR
152,2011,jussijokinen,CAR
153,2011,derekjoslin,CAR
154,2011,tomkostopoulos,CAR
155,2011,chadlarose,CAR
156,2011,jonmatsumoto,CAR
157,2011,jamiemcbain,CAR
158,2011,patrickosullivan,CAR
159,2011,justinpeters,CAR
160,2011,jonipitkanen,CAR
161,2011,bryanrodney,CAR
162,2011,tuomoruutu,CAR
163,2011,jeromesamson,CAR
164,2011,sergeisamsonov,CAR
165,2011,jeffskinner,CAR
166,2011,ericstaal,CAR
167,2011,corystillman,CAR
168,2011,brandonsutter,CAR
169,2011,brettsutter,CAR
170,2011,jiritlusty,CAR
171,2011,camward,CAR
172,2011,ianwhite,CAR
173,2012,bryanallen,CAR
174,2012,brianboucher,CAR
175,2012,draysonbowman,CAR
176,2012,zachboychuk,CAR
177,2012,timbrent,CAR
178,2012,zacdalpe,CAR
179,2012,patrickdwyer,CAR
180,2012,justinfaulk,CAR
181,2012,timgleason,CAR
182,2012,jayharrison,CAR
183,2012,jussijokinen,CAR
184,2012,derekjoslin,CAR
185,2012,tomaskaberle,CAR
186,2012,chadlarose,CAR
187,2012,jamiemcbain,CAR
188,2012,mikemurphy,CAR
189,2012,rileynash,CAR
190,2012,andreasnodl,CAR
191,2012,justinpeters,CAR
192,2012,jonipitkanen,CAR
193,2012,alexeiponikarovsky,CAR
194,2012,tuomoruutu,CAR
195,2012,jeromesamson,CAR
196,2012,bobbysanguinetti,CAR
197,2012,jeffskinner,CAR
198,2012,jaroslavspacek,CAR
199,2012,ericstaal,CAR
200,2012,anthonystewart,CAR
201,2012,brandonsutter,CAR
202,2012,brettsutter,CAR
203,2012,jiritlusty,CAR
204,2012,camward,CAR
205,2012,jeremywelsh,CAR
206,2013,brettbellemore,CAR
207,2013,marcandrebergeron,CAR
208,2013,nicolasblanchard,CAR
209,2013,draysonbowman,CAR
210,2013,zachboychuk,CAR
211,2013,timbrent,CAR
212,2013,joecorvo,CAR
213,2013,zacdalpe,CAR
214,2013,patrickdwyer,CAR
215,2013,danellis,CAR
216,2013,justinfaulk,CAR
217,2013,timgleason,CAR
218,2013,marcandregragnani,CAR
