year,name,position,cap_hit
2021,connormcdavid,C,12500000
2021,artemipanarin,LW,11642857
2021,austonmatthews,C,11640250
2021,erikkarlsson,RD,11500000
2021,johntavares,C,11000000
2021,drewdoughty,RD,11000000
2021,mitchellmarner,RW,10903000
2021,jonathantoews,C,10500000
2021,careyprice,G,10500000
2021,patrickkane,RW,10500000
2021,jackeichel,C,10000000
2021,anzekopitar,C,10000000
2021,sergeibobrovsky,G,10000000
2021,tylerseguin,"C, RW",9850000
2021,alexovechkin,"LW, RW",9538462
2021,markstone,RW,9500000
2021,nikitakucherov,RW,9500000
2021,jamiebenn,"LW, C",9500000
2021,evgenimalkin,C,9500000
2021,andreivasilevskiy,G,9500000
2021,mikkorantanen,RW,9250000
2021,nicklasbackstrom,C,9200000
2021,romanjosi,LD,9059000
2021,pksubban,RD,9000000
2021,jeffskinner,"LW, RW",9000000
2021,alexpietrangelo,RD,8800000
2021,sidneycrosby,C,8700000
2021,stevenstamkos,"RW, C, LW",8500000
2021,leondraisaitl,"C, LW, RW",8500000
2021,sebastianaho,"C, LW",8460250
2021,claudegiroux,"LW, C, RW",8275000
2021,jakubvoracek,"RW, LW",8250000
2021,blakewheeler,"RW, C",8250000
2021,ryangetzlaf,C,8250000
2021,oliverekmanlarsson,LD,8250000
2021,thomaschabot,LD,8000000
2021,ryanjohansen,"C, RW",8000000
2021,johncarlson,RD,8000000
2021,taylorhall,LW,8000000
2021,philkessel,RW,8000000
2021,logancouture,"C, LW",8000000
2021,brentburns,RD,8000000
2021,jacobtrouba,RD,8000000
2021,mattduchene,"C, LW",8000000
2021,victorhedman,LD,7875000
2021,sheaweber,RD,7857143
2021,evgenykuznetsov,C,7800000
2021,jaredspurgeon,RD,7575000
2021,zachparise,LW,7538462
2021,ryansuter,LD,7538462
2021,ryanoreilly,C,7500000
2021,vladimirtarasenko,RW,7500000
2021,aaronekblad,RD,7500000
2021,nicohischier,C,7250000
2021,davidkrejci,C,7250000
2021,krisletang,RD,7250000
2021,claytonkeller,"RW, LW",7150000
2021,kyleconnor,LW,7142857
2021,kevinhayes,C,7142857
2021,mathewbarzal,C,7000000
2021,jamesvanriemsdyk,LW,7000000
2021,maxpacioretty,LW,7000000
2021,joepavelski,"RW, C",7000000
2021,matthewtkachuk,"LW, RW",7000000
2021,marcedouardvlasic,LD/RD,7000000
2021,marcandrefleury,G,7000000
2021,tuukkarask,G,7000000
2021,evanderkane,"LW, RW",7000000
2021,anderslee,"LW, C",7000000
2021,williamnylander,"RW, LW",6962366
2021,brentseabrook,RD,6875000
2021,ryankesler,"C, RW",6875000
2021,patricebergeron,C,6875000
2021,markgiordano,LD,6750000
2021,johnnygaudreau,LW,6750000
2021,ryanmcdonagh,LD,6750000
2021,ivanprovorov,LD,6750000
2021,patriklaine,"LW, RW",6750000
2021,braydenpoint,"C, RW",6750000
2021,davidpastrnak,RW,6666667
2021,toreykrug,LD,6500000
2021,justinfaulk,RD,6500000
2021,paulstastny,"LW, C",6500000
2021,braydenschenn,"C, LW",6500000
2021,derekstepan,C,6500000
2021,chriskreider,LW,6500000
2021,camfowler,LD,6500000
2021,johngibson,G,6400000
2021,alexdebrincat,"LW, RW",6400000
2021,seanmonahan,C,6375000
2021,keithyandle,LD,6350000
2021,nathanmackinnon,"C, RW",6300000
2021,ryanellis,RD,6250000
2021,alexanderradulov,RW,6250000
2021,joshuamorrissey,LD,6250000
2021,mattmurray,G,6250000
2021,connorhellebuyck,G,6166666
2021,bradmarchand,LW,6125000
2021,markscheifele,C,6125000
2021,dylanlarkin,"C, LW",6100000
2021,henrikzetterberg,C,6083333
2021,ryannugenthopkins,"LW, C",6000000
2021,brocknelson,"C, LW",6000000
2021,tylermyers,RD,6000000
2021,davidbackes,"C, RW",6000000
2021,louieriksson,"LW, RW",6000000
2021,mattdumba,RD,6000000
2021,timomeier,"LW, RW",6000000
2021,jakeguentzel,"LW, RW",6000000
2021,alexanderedler,LD,6000000
2021,kyleokposo,RW,6000000
2021,johnnyboychuk,RD,6000000
2021,jordanstaal,"C, LW",6000000
2021,nikolajehlers,"RW, LW",6000000
2021,coryschneider,G,6000000
2021,jacobmarkstrom,G,6000000
2021,filipforsberg,LW,6000000
2021,brandonsaad,"RW, LW",6000000
2021,milanlucic,LW,6000000
2021,erikjohnson,RD,6000000
2021,matszuccarello,"RW, LW",6000000
2021,nateschmidt,LD/RD,5950000
2021,williamkarlsson,C,5900000
2021,jonathanhuberdeau,LW,5900000
2021,aleksanderbarkov,C,5900000
2021,camatkinson,"RW, LW",5875000
2021,dustinbrown,"RW, LW",5875000
2021,brockboeser,RW,5875000
2021,nickschmaltz,C,5850000
2021,brandondubinsky,"C, LW",5850000
2021,adamhenrique,C,5825000
2021,esalindell,LD,5800000
2021,jonathanquick,G,5800000
2021,dougiehamilton,RD,5750000
2021,alexandersteen,"LW, RW, C",5750000
2021,traviszajac,C,5750000
2021,martinjones,G,5750000
2021,jamesneal,"RW, LW",5750000
2021,mattniskanen,RD,5750000
2021,tjoshie,"RW, C",5750000
2021,anthonymantha,"RW, LW",5700000
2021,marcstaal,LD,5700000
2021,tomashertl,"C, RW",5625000
2021,jakemuzzin,LD,5625000
2021,darnellnurse,LD,5600000
2021,gabriellandeskog,"LW, C",5571429
2021,duncankeith,LD,5538462
2021,nickfoligno,"LW, C, RW",5500000
